areacd,value
E01001666,4
E01001667,2
E01001668,2
E01001669,3
E01001671,3
E01001672,3
E01001673,2
E01001674,3
E01001675,3
E01001676,3
E01001677,4
E01001678,6
E01001679,6
E01001680,8
E01001681,5
E01001682,5
E01001683,3
E01001684,3
E01001685,4
E01001686,3
E01001687,2
E01001688,3
E01001690,2
E01001692,2
E01001693,1
E01001694,3
E01001695,2
E01001696,2
E01001697,2
E01001698,1
E01001699,4
E01001700,2
E01001701,3
E01001702,1
E01001703,1
E01001704,3
E01001705,2
E01001706,1
E01001708,4
E01001709,1
E01001710,1
E01001711,4
E01001712,2
E01001713,1
E01001714,1
E01001715,5
E01001716,2
E01001717,3
E01001718,7
E01001719,2
E01001720,5
E01001722,2
E01001723,4
E01001724,4
E01001725,3
E01001726,2
E01001727,4
E01001728,2
E01001729,1
E01001730,1
E01001731,2
E01001732,1
E01001733,3
E01001734,2
E01001735,2
E01001736,5
E01001737,4
E01001738,5
E01001739,4
E01001740,1
E01001741,6
E01001742,3
E01001744,2
E01001745,1
E01001746,1
E01001747,3
E01001748,3
E01001749,4
E01001750,2
E01001751,8
E01001752,3
E01001753,2
E01001754,2
E01001755,2
E01001756,6
E01001757,2
E01001758,2
E01001759,3
E01001760,2
E01001761,1
E01001762,4
E01001763,3
E01001764,3
E01001765,1
E01001767,2
E01001768,3
E01001769,4
E01001770,2
E01001772,1
E01001773,2
E01001774,2
E01001775,2
E01001776,2
E01001777,3
E01001779,2
E01001780,2
E01001781,1
E01001782,4
E01001783,2
E01001784,3
E01001785,2
E01001786,1
E01001787,1
E01001788,1
E01001789,2
E01001790,1
E01001791,2
E01001792,2
E01001793,3
E01001794,3
E01001795,3
E01001796,4
E01001798,1
E01001799,4
E01001800,2
E01001801,3
E01001802,2
E01001803,5
E01001804,4
E01001805,4
E01001806,3
E01001807,3
E01001808,5
E01001809,5
E01001811,1
E01001812,3
E01001813,1
E01001814,4
E01001815,2
E01001816,3
E01001819,3
E01001820,2
E01001821,1
E01001822,1
E01001823,3
E01001824,2
E01001825,5
E01001826,3
E01001827,2
E01001828,1
E01001829,6
E01001830,2
E01001831,4
E01001832,4
E01001833,2
E01001834,3
E01001835,5
E01001836,3
E01001837,6
E01001838,1
E01001839,2
E01001840,1
E01001841,3
E01001842,2
E01001843,3
E01001844,4
E01001845,1
E01001846,1
E01001847,1
E01001848,2
E01001849,2
E01001850,1
E01001851,7
E01001852,6
E01001853,6
E01001854,5
E01001855,5
E01001856,3
E01001857,1
E01001858,3
E01001859,3
E01001860,2
E01001861,2
E01001862,2
E01001863,4
E01001864,3
E01001865,6
E01001866,6
E01001867,5
E01001868,2
E01001869,7
E01001870,6
E01001871,6
E01001872,7
E01001873,3
E01001874,3
E01001875,1
E01001876,1
E01001877,2
E01001878,1
E01001879,3
E01001880,4
E01001881,7
E01001882,8
E01001883,4
E01001884,3
E01001885,1
E01001886,3
E01001887,3
E01001888,8
E01001889,6
E01001890,7
E01001891,9
E01001892,2
E01001893,2
E01001894,2
E01001895,5
E01001896,4
E01001897,6
E01001898,5
E01001899,2
E01001900,3
E01001901,7
E01001902,5
E01001903,3
E01001904,8
E01001905,9
E01001906,8
E01001907,8
E01001908,6
E01001909,4
E01001910,6
E01001911,1
E01001912,2
E01001913,10
E01001914,5
E01001915,9
E01001916,10
E01001917,6
E01001918,6
E01001919,8
E01001920,3
E01001921,6
E01001922,7
E01001923,5
E01001924,10
E01001925,9
E01001926,10
E01001927,9
E01001928,4
E01001929,7
E01001930,3
E01001931,2
E01001932,4
E01001933,5
E01001934,2
E01001935,5
E01001937,8
E01001938,2
E01001939,3
E01001940,2
E01001941,4
E01001942,4
E01001943,3
E01001944,1
E01001945,4
E01001946,4
E01001947,1
E01001948,6
E01001949,10
E01001950,9
E01001951,6
E01001952,7
E01001953,3
E01001954,2
E01001955,1
E01001956,3
E01001957,1
E01001958,1
E01001959,2
E01001960,5
E01001961,1
E01001962,4
E01001963,9
E01001964,6
E01001965,6
E01001966,8
E01001967,8
E01001968,7
E01001969,3
E01001970,2
E01001971,2
E01001972,3
E01001973,4
E01001974,5
E01001975,5
E01001976,2
E01001977,1
E01001978,1
E01001979,1
E01001980,2
E01001981,2
E01001982,2
E01001983,3
E01001984,6
E01001985,9
E01001986,6
E01001987,10
E01001988,6
E01001989,6
E01001990,7
E01001991,7
E01001992,9
E01001993,10
E01001994,7
E01001995,3
E01001996,6
E01001997,8
E01001998,4
E01001999,3
E01002000,4
E01002001,4
E01002002,3
E01002003,2
E01002004,4
E01002005,8
E01002006,7
E01002007,9
E01002008,9
E01002009,9
E01002010,5
E01002011,6
E01002013,6
E01002014,4
E01002015,2
E01002016,3
E01002017,4
E01002018,3
E01002019,9
E01002020,5
E01002021,8
E01002022,8
E01002023,7
E01002024,5
E01002025,9
E01002026,1
E01002027,2
E01002028,3
E01002029,2
E01002030,4
E01002031,3
E01002032,2
E01002033,2
E01002034,1
E01002036,1
E01002037,1
E01002038,1
E01002039,1
E01002040,1
E01002041,1
E01002042,4
E01002043,3
E01002044,4
E01002045,2
